#{"t_start": 1680170597.424357, "env_id": "MiniGrid-Fetch-5x5-N2-v0"}
r,l,t
0,3,184.017397
0,9,184.041825
0.8704,18,184.08936
0.9856,2,184.095707
0,4,184.106894
0.9712,4,184.118228
0.9568,6,184.134835
0,6,184.150284
0,25,184.802086
0.9856,2,184.808075
0.8776,17,184.855061
0,6,184.871082
0,24,184.937628
0.9424,8,184.960225
0,2,184.966471
0.9424,8,184.990372
0.964,5,185.002224
0,21,185.054636
0.856,20,185.104697
0.8704,18,185.732102
0.9712,4,185.742445
0.964,5,185.754942
0.964,5,185.767684
0,4,185.777364
0,8,185.797497
0.9928,1,185.800044
0,5,185.812549
0.82,25,185.872789
0.9496,7,185.890935
0,1,185.894266
0,23,185.951264
0,5,185.964389
0,1,185.966997
0.9064,13,186.001855
0,9,186.605743
0.784,30,186.68379
0,8,186.704149
0.9424,8,186.72515
0.964,5,186.739211
0,19,186.790295
0.9784,3,186.798738
0.9784,3,186.806329
0,5,186.819708
0,50,187.530543
0,15,187.569919
0,3,187.578302
0,62,187.736193
0.9784,3,187.7439
0.8776,17,187.787065
0.9856,2,187.792668
0.9136,12,187.824018
0.9568,6,187.838781
0.9784,3,188.427077
0.9064,13,188.459188
0.9424,8,188.479929
0,48,188.603748
0.8776,17,188.648145
0.964,5,188.661253
0.9712,4,188.671422
0,2,188.676618
0,7,188.69469
0.9784,3,188.702595
0,12,188.734109
0,10,189.343762
0,7,189.363272
0.964,5,189.37593
0,6,189.393055
0.82,25,189.454578
0,125,190.359182
0.9856,2,190.36489
0,1,190.367628
0.9856,2,190.372996
0,22,190.430959
0.9856,2,190.436218
0.9352,9,190.461687
0,22,190.519536
0,125,191.421131
0.6904,43,192.111363
0,32,192.194914
0,1,192.197877
0.9136,12,192.230936
0.9928,1,192.23364
0.9856,2,192.239408
0,7,192.258817
0.7984,28,192.332287
0,2,192.338083
0.964,5,192.352135
0,4,192.36369
0,8,192.386585
0,1,192.389767
0.748,35,193.064398
0.9712,4,193.075253
0,1,193.077911
